//	Command ID					Content														Description

CS_CONTROL_CONNECT				()															连接
CS_GAME_START					()															开始游戏

SC_CONTROL_CONNECT_SUCCESS		(int)														连接成功
SC_GAME_START					()															开始游戏











CS_INPUT						(float,float,float,int)										输入


SC_SYN_INSTANTIATE				(int,string,float,float,float,float,float,float,float)		同步实例化
SC_SYN_TRANSFORM				(int,float,float,float,float,float,float,float)				同步transform
SC_SYN_DESTROY					(int)														同步销毁


SP_CONTROL_CONNECT				()															连接
// SP_CONTROL_NEW_CLIENT			(int)														新的玩家
SP_GAME_START					()															开始游戏
SP_INPUT						(int,float,float,float,int)									输入

PS_CONTROL_CONNECT_SUCCESS		()															连接成功
PS_SYN_INSTANTIATE				(int,int,string,float,float,float,float,float,float,float)	同步实例化
PS_SYN_TRANSFORM				(int,float,float,float,float,float,float,float)				同步transform
PS_SYN_DESTROY					(int)														同步销毁
